COMUNA;LAT;LON;Region
San Fabian;-36.555887;-71.551834;16
San Felipe;-32.750088;-70.722423;5
San Fernando;-34.585762;-70.990723;6
San Gregorio;-52.31643;-69.69071;12
San Ignacio;-36.528751;-72.428822;16
san Javier;-35.595641;-71.729356;7
San Joaquin;-33.496889;-70.628396;13
San Jose de Maipo;-33.639451;-70.352471;13
San Juan de la Costa;-40.510985;-73.412964;10
San Miguel;-33.492361;-70.651784;13
San Nicolas;-36.502275;-72.215869;16
San Pablo;-40.412695;-73.011049;10
San Pedro;-33.894503;-71.45469;13
San Pedro de la Paz;-36.839247;-73.116678;8
San Rafael;-35.3064;-71.517946;7
San Ramon;-33.549385;-70.646103;13
San Rosendo;-37.263385;-72.723444;8
San Vicente;-34.440276;-71.078062;6
Santa Barbara;-37.667797;-72.020193;8
Santa Cruz;-34.635312;-71.361484;6
Santa Juana;-37.17262;-72.944497;8
Santa Maria;-32.747084;-70.656607;5
Santiago;-33.445338;-70.657353;13
Santo Domingo;-33.649212;-71.623468;5
Sierra Gorda;-22.890964;-69.319547;2
San Pedro de Atacama;-22.920189;-68.201371;2
Talagante;-33.665645;-70.926476;13
Talca;-35.430194;-71.652362;7
Talcahuano;-36.72599;-73.117213;8
Taltal;-25.407326;-70.481232;2
Temuco;-38.739139;-72.594608;9
Teno;-34.870799;-71.162697;7
Teodoro Schmidt;-38.995104;-73.088659;9
Tierra Amarilla;-27.474353;-70.265673;3
Til til;-33.083945;-70.92803;13
Timaukel;-53.672;-69.71;12
Tirua;-38.341298;-73.49107;8
Tocopilla;-22.091152;-70.197052;2
Tolten;-39.178717;-73.164864;9
Tome;-36.61278;-72.955192;8
Torres del Paine;-51.256229;-72.344411;12
Tortel;-47.801437;-73.535601;11
Traiguen;-38.249137;-72.67128;9
Treguaco;-36.431501;-72.669836;16
Tucapel;-37.240718;-71.943961;8
Valdivia;-39.834782;-73.222688;14
Vallenar;-28.577574;-70.755448;3
Valparaiso;-33.649212;-71.623468;5
Vichuquen;-34.885581;-71.993568;7
Victoria;-38.234914;-72.3335;9
Vicuna;-30.033166;-70.710777;4
Vilcun;-38.670305;-72.225836;9
Villa Alegre;-35.67531;-71.74184;7
Villa Alemana;-33.049087;-71.372022;5
Villarrica;-39.288718;-72.227987;9
Vina del Mar;-33.011865;-71.546092;5
Vitacura;-33.391001;-70.572583;13
Yerbas Buenas;-35.747565;-71.582772;7
Yumbel;-37.096378;-72.560897;8
Yungay;-37.121626;-72.016978;16
Zapallar;-32.554831;-71.45667;5
