aux;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
-27-69;-8,15;-8,49;-9,27;-13,14;-16,99;-19,13;-21,01;-19,50;-18,12;-14,31;-10,94;-9,22
-27-68;-6,78;-7,17;-7,69;-9,41;-13,55;-15,86;-17,82;-16,10;-13,82;-9,43;-8,65;-7,93
-27-67;3,20;2,07;0,31;-2,89;-5,12;-6,23;-7,41;-6,46;-5,68;-2,94;-1,06;1,66
-27-66;6,34;5,43;4,05;0,14;-2,90;-4,07;-5,36;-4,77;-4,11;-0,23;2,47;5,13
-28-76;16,84;17,64;17,40;16,50;15,30;14,32;13,23;12,62;12,75;13,32;14,08;15,27
-28-75;16,52;17,33;17,10;16,11;14,85;13,86;12,81;12,34;12,43;12,96;13,81;14,99
-28-74;16,40;17,13;16,87;15,61;14,47;13,52;12,47;12,06;12,19;12,66;13,62;14,78
-28-73;16,24;16,96;16,70;15,33;14,31;13,22;12,14;11,82;12,05;12,54;13,50;14,68
-28-72;16,26;16,99;16,52;15,26;14,17;13,15;12,03;11,78;11,98;12,62;13,44;14,79
-28-71;15,23;15,72;14,82;13,12;11,92;10,63;9,62;9,64;9,90;10,81;11,98;13,49
-28-70;8,45;8,12;6,49;3,24;0,25;-2,04;-3,39;-2,52;-1,59;1,16;3,88;6,71
-28-69;-8,22;-8,51;-8,96;-12,21;-16,20;-18,68;-20,20;-18,74;-17,72;-13,25;-10,06;-9,08
-28-68;0,94;0,06;-1,30;-3,79;-5,95;-7,37;-9,12;-7,71;-7,30;-4,63;-2,59;-0,38
-28-67;15,22;14,12;12,51;8,26;4,49;1,63;0,36;1,81;3,84;8,46;11,46;14,44
-28-66;13,14;12,15;10,59;6,31;2,77;0,28;-0,98;0,42;2,37;6,92;9,72;12,77
-29-76;16,67;17,42;17,15;16,23;15,07;13,99;12,88;12,35;12,43;13,05;13,87;15,13
-29-75;16,34;17,11;16,80;15,76;14,64;13,60;12,53;12,05;12,15;12,78;13,59;14,83
-29-74;16,11;16,80;16,56;15,30;14,18;13,21;12,17;11,76;11,95;12,43;13,38;14,57
-29-73;16,05;16,67;16,43;15,12;14,06;12,98;11,87;11,57;11,76;12,33;13,25;14,47
-29-72;15,69;16,39;15,88;14,59;13,52;12,40;11,39;11,31;11,49;12,18;12,96;14,20
-29-71;12,70;13,19;12,20;10,32;8,30;6,77;5,28;5,63;6,27;7,84;9,53;11,24
-29-70;-2,08;-2,64;-3,78;-5,89;-9,92;-13,44;-15,09;-13,76;-11,62;-7,89;-5,79;-3,89
-29-69;4,06;2,91;1,33;-1,88;-4,54;-6,35;-8,07;-6,89;-5,86;-2,29;-0,42;2,39
-29-68;11,00;9,61;7,39;3,17;-0,60;-2,78;-4,16;-3,12;-1,50;3,06;5,88;9,62
-29-67;13,50;12,03;10,75;6,28;2,82;0,17;-1,06;0,23;1,97;6,32;9,44;12,64
-29-66;17,64;16,23;14,79;10,13;6,43;3,43;2,28;4,16;6,53;10,64;14,03;16,92
-30-76;16,47;17,16;16,83;15,90;14,74;13,70;12,53;12,01;12,11;12,71;13,58;14,92
-30-75;16,14;16,85;16,50;15,50;14,32;13,24;12,14;11,78;11,90;12,48;13,33;14,67
-30-74;15,86;16,54;16,23;15,02;13,93;12,85;11,78;11,45;11,62;12,15;13,16;14,40
-30-73;15,79;16,47;16,09;14,90;13,74;12,61;11,55;11,26;11,57;12,10;13,00;14,26
-30-72;15,57;16,20;15,69;14,44;13,34;12,22;11,30;11,22;11,45;12,09;12,84;14,14
-30-71;13,33;13,89;12,96;11,03;9,18;7,55;6,05;6,43;7,07;8,41;10,13;12,08
-30-70;-4,38;-4,69;-5,76;-7,49;-12,50;-16,72;-18,63;-17,22;-14,35;-9,66;-7,52;-5,97
-30-69;10,60;9,18;7,54;3,05;-0,09;-2,29;-3,67;-2,96;-1,41;2,39;5,74;9,26
-30-68;14,39;12,82;10,91;6,08;2,24;-0,50;-1,85;-0,37;1,65;6,05;9,77;13,35
-30-67;16,73;15,19;13,15;8,70;5,08;2,00;0,69;2,30;4,93;9,32;12,91;15,89
-30-66;16,55;15,10;13,01;8,39;4,52;1,49;0,49;2,42;5,07;9,39;12,90;15,90
-31-76;16,22;16,85;16,53;15,54;14,36;13,23;12,13;11,67;11,75;12,37;13,26;14,72
-31-75;15,93;16,59;16,19;15,14;14,02;12,80;11,74;11,37;11,55;12,14;13,02;14,47
-31-74;15,72;16,28;15,96;14,73;13,60;12,43;11,48;11,07;11,38;11,94;12,85;14,20
-31-73;15,57;16,18;15,76;14,48;13,35;12,25;11,20;10,97;11,28;11,87;12,73;14,08
-31-72;14,59;15,03;14,40;12,96;11,60;10,39;9,57;9,57;9,97;10,83;11,77;13,14
-31-71;12,88;13,06;12,00;9,23;6,84;4,48;2,92;3,80;4,65;6,39;8,60;11,21
-31-70;-4,32;-4,37;-5,29;-7,54;-12,91;-16,47;-18,27;-16,86;-14,59;-9,83;-7,12;-5,27
